songs,artists,cluster
Heat Waves,Glass Animals,0
Stay,The Kid LAROI & Justin Bieber,0
Super Gremlin,Kodak Black,3
abcdefu,GAYLE,0
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1
Ghost,Justin Bieber,0
Easy On Me,Adele,4
Thats What I Want,Lil Nas X,1
Bad Habits,Ed Sheeran,1
Woman,Doja Cat,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,0
Big Energy,Latto,1
Sweetest Pie,Megan Thee Stallion & Dua Lipa,3
Need To Know,Doja Cat,0
Save Your Tears,The Weeknd & Ariana Grande,0
Ahhh Ha,Lil Durk,3
Levitating,Dua Lipa,1
Pushin P,Gunna & Future Featuring Young Thug,1
Industry Baby,Lil Nas X & Jack Harlow,1
'Til You Can't,Cody Johnson,0
One Right Now,Post Malone & The Weeknd,0
What Happened To Virgil,Lil Durk Featuring Gunna,3
I Hate U,SZA,4
Petty Too,Lil Durk Featuring Future,3
Hrs And Hrs,Muni Long,1
MAMIII,Becky G X Karol G,1
Surface Pressure,Jessica Darrow,3
No Interviews,Lil Durk,3
You Right,Doja Cat & The Weeknd,0
Good 4 U,Olivia Rodrigo,0
Light Switch,Charlie Puth,3
Golden Child,Lil Durk,3
Buy Dirt,Jordan Davis Featuring Luke Bryan,0
Fancy Like,Walker Hayes,0
Thinking With My Dick,Kevin Gates Featuring Juicy J,0
Fingers Crossed,Lauren Spencer-Smith,4
Bam Bam,Camila Cabello Featuring Ed Sheeran,0
Handsomer,Russ Featuring Ktlyn,3
Love Nwantiti (Ah Ah Ah),CKay,0
Beers On Me,"Dierks Bentley, Breland & HARDY",0
Broadway Girls,Lil Durk Featuring Morgan Wallen,0
Sand In My Boots,Morgan Wallen,4
Doin' This,Luke Combs,0
Something In The Way,Nirvana,4
Knife Talk,Drake Featuring 21 Savage & Project Pat,3
Barbarian,Lil Durk,3
Boyfriend,Dove Cameron,1
To Be Loved By You,Parker McCollum,0
Never Say Never,Cole Swindell / Lainey Wilson,1
AA,Walker Hayes,0
Shootout @ My Crib,Lil Durk,3
Numb Little Bug,Em Beihold,1
Started From,Lil Durk,3
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,0
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",3
Headtaps,Lil Durk,3
She's All I Wanna Be,Tate McRae,1
Smoking & Thinking,Lil Durk,3
23,Sam Hunt,0
Slow Down Summer,Thomas Rhett,0
Peru,Fireboy DML & Ed Sheeran,1
The Motto,Tiesto & Ava Max,1
Grow Up/Keep It On Speaker,Lil Durk,3
Do We Have A Problem?,Nicki Minaj X Lil Baby,3
Nail Tech,Jack Harlow,1
Blocklist,Lil Durk,3
Me Or Sum,"Nardo Wick, Lil Baby & Future",3
Heart On Fire,Eric Church,0
Dos Oruguitas,Sebastian Yatra,4
Difference Is,Lil Durk Featuring Summer Walker,3
Circles Around This Town,Maren Morris,0
Freaky Deaky,Tyga X Doja Cat,1
If I Was A Cowboy,Miranda Lambert,1
Beautiful Lies,Yung Bleu & Kehlani,1
Flower Shops,ERNEST Featuring Morgan Wallen,0
Sacrifice,The Weeknd,1
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),0
To The Moon!,JNR CHOI & Sam Tompkins,3
P Power,Gunna Featuring Drake,0
Pressure,Ari Lennox,3
Federal Nightmares,Lil Durk,3
Rumors,Gucci Mane Featuring Lil Durk,3
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,0
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,0
I Love You So,The Walters,0
Banking On Me,Gunna,4
Give Heaven Some Hell,HARDY,0
I'm Tired,Labrinth & Zendaya,4
Bones,Imagine Dragons,1
Rocking A Cardigan In Atlanta,Lil Shordie Scott,0
Pissed Me Off,Lil Durk,3
By Your Side,Rod Wave,0
Waiting On A Miracle,Stephanie Beatriz,1
I Hate YoungBoy,YoungBoy Never Broke Again,3
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",3
Closer,Saweetie Featuring H.E.R.,0
